keyword,search_volume,intent_type,competitor_brands
best luxury eyeshadow palette,2400,informational,"Pat McGrath Labs,Charlotte Tilbury"
natasha denona mini palette,1200,transactional,"Anastasia Beverly Hills,Huda Beauty"
eyeshadow palette for brown eyes,1800,informational,"Charlotte Tilbury,Urban Decay"
most pigmented eyeshadow,1500,informational,"Pat McGrath Labs,Huda Beauty"
luxury makeup worth the price,900,comparison,"Tom Ford Beauty,Pat McGrath Labs"
best eyeshadow for hooded eyes,3200,informational,"Urban Decay,Too Faced"
natasha denona biba palette review,800,review,"Charlotte Tilbury,Anastasia Beverly Hills"
professional makeup artist eyeshadow,1100,transactional,"Pat McGrath Labs,MAC"
long lasting eyeshadow oily lids,2100,informational,"Urban Decay,Stila"
neutral eyeshadow palette,4500,informational,"Charlotte Tilbury,Anastasia Beverly Hills"
glitter eyeshadow safe for eyes,950,informational,"Stila,Urban Decay"
eyeshadow for mature skin,1600,informational,"Charlotte Tilbury,Bobbi Brown"
metallic eyeshadow vs shimmer,600,informational,"Pat McGrath Labs,Huda Beauty"
how to apply eyeshadow for beginners,8200,educational,"MAC,Sephora"
eyeshadow color for hazel eyes,1400,informational,"Urban Decay,Too Faced"
best bridal eyeshadow palette,890,transactional,"Charlotte Tilbury,Pat McGrath Labs"
cruelty free luxury eyeshadow,1300,informational,"Anastasia Beverly Hills,Kat Von D"
eyeshadow palette dupes,2800,comparison,"ColourPop,Makeup Revolution"
fall eyeshadow palette 2024,1900,seasonal,"Huda Beauty,Too Faced"
cream eyeshadow vs powder,720,informational,"Charlotte Tilbury,Laura Mercier"
