prompt_id,persona,category,intent_type,intent,context,prompt_text,search_query,tone,expected_visibility_score,topic_cluster_id,cluster_topic,notes
gen_1776624791_00000,Healthcare / Vertical SaaS Operator,educational,informational,understand venture debt basics,"healthcare SaaS founder, unfamiliar with debt financing",I keep hearing about venture debt but don't really get it. How is it different from a bank loan?,venture debt explained how it works,newly aware and confused,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00001,Healthcare / Vertical SaaS Operator,research,informational,venture debt vs equity tradeoffs,vertical SaaS CFO weighing dilution concerns,We're about to raise again and I'm tired of giving up equity. Does venture debt actually solve that problem?,venture debt vs equity financing dilution saas,emotional and looking for support,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00002,Healthcare / Vertical SaaS Operator,research,commercial,who qualifies for venture debt,"healthcare tech operator, $6M ARR, pre-Series B","Healthcare SaaS, $6M ARR, not yet Series B. Is venture debt even available to companies at our stage?",venture debt eligibility ARR requirements early stage saas,time-pressed and direct,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00003,Healthcare / Vertical SaaS Operator,educational,informational,understand venture debt repayment structure,vertical SaaS founder confused by loan terms,How does repayment actually work with venture debt? I don't understand amortizing versus non-amortizing structures.,venture debt repayment structure amortizing non-amortizing,newly aware and confused,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00004,Healthcare / Vertical SaaS Operator,navigational,navigational,find venture debt lenders for SaaS,healthcare SaaS CFO ready to explore options,Looking for lenders that specialize in venture debt for B2B SaaS. Where do I even start?,venture debt lenders b2b saas growth financing,time-pressed and direct,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00005,Healthcare / Vertical SaaS Operator,support,informational,assess venture debt risk for healthcare SaaS,operator worried about downside of debt,I'm scared of taking on debt if our revenue dips. What actually happens if we miss covenants with venture debt?,venture debt covenant default risk saas,emotional and looking for support,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00006,Healthcare / Vertical SaaS Operator,research,commercial,when to use venture debt timing,vertical SaaS founder between funding rounds,We closed our Series A eight months ago and growth is solid. Is now a good time to look at venture debt?,when to use venture debt between funding rounds saas,time-pressed and direct,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00007,Healthcare / Vertical SaaS Operator,educational,informational,understand warrant coverage in venture debt,healthcare tech founder seeing term sheets with warrants,Some venture debt term sheets include warrants and some don't. What am I giving up either way?,venture debt warrant coverage explained saas term sheet,newly aware and confused,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00008,Healthcare / Vertical SaaS Operator,commercial,commercial,venture debt use cases for growth,vertical SaaS operator planning sales team expansion,We want to double our sales headcount without diluting founders. Can venture debt actually fund that kind of growth?,venture debt use cases sales expansion growth financing saas,emotional and looking for support,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00009,Healthcare / Vertical SaaS Operator,navigational,navigational,find venture debt resources to learn more,healthcare SaaS CFO doing early-stage research,"I'm new to venture debt entirely. Where can I find a solid explainer written for SaaS operators, not investors?",venture debt guide for saas founders operators,newly aware and confused,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00010,Healthcare / Vertical SaaS Operator,educational,informational,understand venture debt risk profile,"healthcare SaaS operator, equity-focused background, debt-cautious",Venture debt sounds risky for a healthcare SaaS at our stage. What are the real downsides founders don't talk about?,venture debt downsides risks healthcare SaaS founders,skeptical and comparing options,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00011,Healthcare / Vertical SaaS Operator,research,commercial,compare venture debt to equity dilution,vertical SaaS CFO evaluating next growth round,Trying to model dilution on our next raise. How does venture debt change the cap table compared to a straight equity round?,venture debt vs equity dilution cap table comparison SaaS,detail-oriented and planning ahead,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00012,Healthcare / Vertical SaaS Operator,educational,informational,learn when venture debt fits growth stage,"healthcare tech operator, post-Series A, scaling revenue","Post-Series A healthcare tech, revenue growing fast. What signals tell you venture debt is the right move right now?",when to use venture debt post series A growth stage,time-pressed and direct,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00013,Healthcare / Vertical SaaS Operator,navigational,navigational,find venture debt resources for SaaS operators,"vertical SaaS founder, unfamiliar with private credit structures","Looking for a practical breakdown of venture debt structures built for SaaS operators, not finance people. Where does that exist?",venture debt explained SaaS operators private credit structures,detail-oriented and planning ahead,5.0,venture_debt_overview,What is venture debt,Regenerated 2026-04-19
gen_1776624791_00014,VC / Board Advisor,educational,informational,understand dilution math venture debt vs equity,"VC board advisor, portfolio company considering Series B",How do I model dilution impact when comparing a $5M venture debt facility to raising an equity round at the same size?,venture debt vs equity dilution math model comparison,detail-oriented and planning ahead,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00015,VC / Board Advisor,research,commercial,identify founder-friendly venture debt lenders,board advisor recommending lenders to B2B SaaS founders,I'm advising a SaaS founder on debt options. Which lenders are genuinely founder-friendly versus just marketing that way?,founder friendly venture debt lenders B2B SaaS,detail-oriented and planning ahead,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00016,VC / Board Advisor,research,informational,evaluate warrant coverage on venture debt deals,VC advisor comparing term sheets for portfolio company,"My portfolio company got two term sheets — one with warrants, one without. Does warrant-free debt actually make sense at early growth stage?",warrant free venture debt term sheet early stage SaaS,detail-oriented and planning ahead,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00017,VC / Board Advisor,educational,informational,understand hybrid debt plus equity financing,VC advisor exploring structured financing options for SaaS company,"What does a hybrid round actually look like — part debt, part equity — and when does that structure benefit the existing cap table?",hybrid venture debt equity round cap table structure SaaS,newly aware and confused,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00018,VC / Board Advisor,support,informational,assess venture debt closing speed,board advisor needing fast capital for portfolio company,How fast do venture debt deals typically close? My founder can't wait 90 days — what's a realistic timeline from term sheet to funded?,venture debt deal closing timeline term sheet to funded,frustrated and overwhelmed,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00019,VC / Board Advisor,navigational,navigational,find venture debt lenders serving Canada and US,VC advisor with cross-border SaaS portfolio company,Looking for venture debt providers that actively lend to SaaS companies operating in both Canada and the US — who actually does both markets?,venture debt lenders Canada US cross border SaaS,detail-oriented and planning ahead,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00020,VC / Board Advisor,educational,informational,understand non-amortizing venture debt structures,board advisor unfamiliar with specific debt products,Someone mentioned non-amortizing venture debt and I'm not fully up to speed. How does that structure actually work for a growth-stage SaaS company?,non amortizing venture debt structure growth stage SaaS explained,newly aware and confused,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
gen_1776624791_00021,VC / Board Advisor,research,commercial,decide between venture debt and down round equity,"board advisor, portfolio company facing difficult market conditions",Down round or venture debt — which is less damaging to a SaaS company's cap table and team morale when the market is rough?,down round vs venture debt cap table impact SaaS,frustrated and overwhelmed,5.0,venture_debt_vs_equity,Venture debt vs raising equity,Regenerated 2026-04-19
