prompt_id,persona,category,intent_type,intent,context,prompt_text,search_query,tone,expected_visibility_score,topic_cluster_id,cluster_topic,notes
gen_1776625555_00000,Spousal Caregiver,support,informational,find support for spouse caregiver burnout,"spousal caregiver, doesn't identify as caregiver, overwhelmed",I'm exhausted from taking care of my husband but I don't even know if I count as a caregiver. Where do I turn?,support for spouse caregiver burnout Ontario,frustrated and overwhelmed,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00001,Spousal Caregiver,educational,informational,understand what qualifies as being a caregiver,"spousal caregiver, identity confusion, role creeping up gradually",At what point does helping your sick spouse daily actually make you a caregiver? I never thought of myself that way.,am I a caregiver helping spouse daily Ontario,curious and exploratory,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00002,Spousal Caregiver,navigational,navigational,find caregiver peer support groups Ontario,"spousal caregiver, isolated, wants to talk to others in same situation",Looking for a group in Ontario where spouses caring for sick partners can actually talk to each other. Does that exist?,spousal caregiver peer support group Ontario,time-pressed and direct,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00003,Spousal Caregiver,educational,informational,recognize caregiver burnout signs,"spousal caregiver, role intensifying, no breaks",I'm snapping at my wife more and sleeping terribly. Is this caregiver burnout or just stress? How do I tell?,caregiver burnout signs symptoms Ontario spouse,frustrated and overwhelmed,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00004,Spousal Caregiver,navigational,navigational,find free caregiver helpline Ontario,"spousal caregiver, crisis point, needs immediate guidance",Is there a free helpline in Ontario I can call tonight about caregiver stress? I really need to talk to someone.,free caregiver helpline Ontario phone support,frustrated and overwhelmed,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00005,Spousal Caregiver,support,informational,explore mental health support for caregivers Ontario,"spousal caregiver, anxiety rising, unsure what programs exist",Are there mental health programs in Ontario specifically for people caring for a spouse at home? I'm struggling quietly.,mental health program caregivers Ontario spouse at home,curious and exploratory,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00006,Spousal Caregiver,commercial,commercial,find caregiver coaching or one-on-one guidance,"spousal caregiver, needs practical help navigating care decisions",Is there someone in Ontario who coaches caregivers one-on-one? I need help figuring out next steps for my husband's care.,caregiver coaching one on one support Ontario,time-pressed and direct,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00007,Spousal Caregiver,educational,informational,understand gradual caregiver role intensification,"spousal caregiver, role grew slowly, now feels trapped",It started with driving her to appointments. Now I do everything. How do caregivers cope when the role just keeps growing?,caregiver role intensification coping strategies Ontario,curious and exploratory,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00008,Spousal Caregiver,support,informational,connect with peer mentor as new caregiver,"spousal caregiver, newly identifying with role, wants lived-experience guidance",I just realized I've become my wife's full-time caregiver. Can I talk to someone in Ontario who's been through this?,caregiver peer mentor program Ontario lived experience,curious and exploratory,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
gen_1776625555_00009,Spousal Caregiver,educational,informational,understand caregiver identity shift,spouse doing more tasks but resists caregiver label,My husband's needs keep growing and I keep adapting. Is there a word for what I'm becoming besides just 'wife'?,spouse caregiver identity role intensification Ontario,frustrated and overwhelmed,5.0,caregiver_support_ontario,Caregiver support in Ontario,Regenerated 2026-04-19
