keyword,search_volume,intent_type,competitor_brands,all_intents
saint javelin,500,informational,,informational
st javelin,2000,informational,,informational
ukraine shirt,4800,transactional,,transactional
ukraine shirts,4800,transactional,,transactional
ukraine t shirt,700,transactional,,transactional
ukraine t-shirts,700,transactional,,transactional
ukraine tshirt,100,transactional,,transactional
ukraine clothing,250,transactional,,transactional
ukraine clothes,150,transactional,,transactional
ukrainian clothing,350,transactional,,transactional
ukrainian clothes,200,informational,,informational
ukraine hoodie,150,transactional,,transactional
ukrainian hoodie,70,transactional,,transactional
ukraine sweatshirt,150,transactional,,transactional
zelensky sweatshirt,90,transactional,,transactional
zelensky sweater,90,transactional,,transactional
zelensky t shirt,150,transactional,,transactional
ukraine hat,150,transactional,,transactional
ukrainian hats,200,transactional,,transactional
ukraine sticker,250,transactional,,transactional
ukraine bumper sticker,100,transactional,,transactional
ukraine patch,80,transactional,,transactional
ukrainian flag patch,300,transactional,,transactional
ukrainian shirt,150,transactional,,transactional
ukrainian t shirts,100,transactional,,transactional
vyshyvanka,3900,informational,,informational
ukrainian vyshyvanka,450,commercial,,commercial
vyshyvanka shirt,200,transactional,,transactional
tryzub,800,informational,,informational
tryzub necklace,40,transactional,,transactional
ukrainian sweaters,200,transactional,,transactional
support ukraine shirt,150,transactional,,transactional
support ukraine merchandise,200,transactional,,transactional
i stand with ukraine shirt,100,transactional,,transactional
made in ukraine clothing,100,commercial,,commercial
mission backpack,200,commercial,,commercial
mission backpacks,100,commercial,,commercial
edc backpack,8800,commercial,,commercial
everyday carry backpack,1300,commercial,,commercial
tactical backpack,15000,commercial,,commercial
military backpacks,5400,commercial,,commercial
durable backpacks,400,commercial,,commercial
heavy duty backpacks,500,commercial,,commercial
best hiking backpack,3600,commercial,,commercial
backpack for trekking,500,commercial,,commercial
best backpacks for travel,4400,commercial,,commercial
tactical hat,2200,commercial,,commercial
tactical jacket,8100,commercial,,commercial
military thermal,1000,commercial,,commercial
military thermal clothing,200,commercial,,commercial
military thermal shirt,400,commercial,,commercial
army thermal shirt,200,commercial,,commercial
long sleeve thermal shirts,880,commercial,,commercial
thermal shirts for men,3600,commercial,,commercial
thermal shirts for women,2400,commercial,,commercial
long sleeve shirts,40500,commercial,,commercial
military t shirts,500,commercial,,commercial
military t-shirts,500,commercial,,commercial
military hoodies,1600,commercial,,commercial
morale patches,5400,commercial,,commercial
cabin socks,500,commercial,,commercial
best cabin socks,200,commercial,,commercial
cabin socks womens,300,commercial,,commercial
men's cabin socks,500,commercial,,commercial
merino wool socks,27000,commercial,,commercial
wool hiking socks,2200,commercial,,commercial
hiking crew socks,500,commercial,,commercial
athletic socks,27000,commercial,,commercial
white workout socks,200,commercial,,commercial
blue and yellow socks,70,commercial,,commercial
bamboo t-shirt,1800,commercial,,commercial
bamboo shirts,800,commercial,,commercial
bamboo mens shirts,800,commercial,,commercial
bamboo womens shirts,600,commercial,,commercial
women's bamboo t-shirts,500,commercial,,commercial
bamboo long sleeve shirt women's,200,commercial,,commercial
cotton t-shirts,5400,commercial,,commercial
cotton shirts,9900,commercial,,commercial
cotton sweatpants,6600,commercial,,commercial
t-shirts for men,110000,commercial,,commercial
t-shirts for women,74000,commercial,,commercial
adult t-shirts,1000,commercial,,commercial
graphic t-shirts,49500,commercial,,commercial
embroidered shirts,4400,commercial,,commercial
embroidered t-shirts mens,1900,commercial,,commercial
high quality t-shirts,1300,commercial,,commercial
casual shirts,4400,commercial,,commercial
casual t-shirts,1900,commercial,,commercial
relaxed fit t-shirts,1900,commercial,,commercial
athletic fit t-shirts,500,commercial,,commercial
breathable t-shirts,1000,commercial,,commercial
charity t-shirts,300,commercial,,commercial
hoodies for men,60500,commercial,,commercial
hoodies for women,74000,commercial,,commercial
fleece hoodies,8100,commercial,,commercial
pullover hoodies,12100,commercial,,commercial
oversized hoodies,33100,commercial,,commercial
sweatpants for men,27000,commercial,,commercial
sweatpants for women,40500,commercial,,commercial
fleece lined sweatpants,6600,commercial,,commercial
heavy duty sweatpants,300,commercial,,commercial
beanie hats for men,5400,commercial,,commercial
beanie hats for women,6600,commercial,,commercial
wool beanie hats,1900,commercial,,commercial
warm winter beanies,200,commercial,,commercial
toque hat,9900,commercial,,commercial
bucket hats for men,14800,commercial,,commercial
bucket hats for women,18100,commercial,,commercial
beach bucket hats,400,commercial,,commercial
dad hats for men,3600,commercial,,commercial
dad hats for women,1900,commercial,,commercial
patriotic sweaters,200,commercial,,commercial
wool blend sweaters,1000,commercial,,commercial
handcrafted wool blankets,200,commercial,,commercial
handmade blankets,1900,commercial,,commercial
handwoven rugs,1600,commercial,,commercial
bombas socks,22000,commercial,bombas,commercial
socks that give back,150,commercial,bombas,commercial
one for one socks,100,commercial,bombas,commercial
gifts that give back,400,commercial,,commercial
cause based clothing,200,commercial,,commercial
patriotic gifts,1000,commercial,,commercial
meaningful gifts,800,commercial,,commercial
fathers day gift ideas,90500,commercial,,commercial
veterans day gifts,1600,commercial,,commercial
gifts for veterans,2400,commercial,,commercial
gifts for outdoor enthusiasts,1300,commercial,,commercial
