prompt_id,client_name,persona,category,intent_type,prompt_text,expected_visibility_score,notes,batch_id,batch_name,date_added,status
gen_1773401725576_8443,Say I Do,The Comparison Shopper,wedding,navigational,wedding websites with rsvp feature recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725595_9520,Say I Do,The Comparison Shopper,wedding,commercial,What makes minted rsvp names of couples different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725612_8558,Say I Do,The Comparison Shopper,wedding,navigational,What makes wedding website comparisons different from other options,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725649_5581,Say I Do,The Comparison Shopper,wedding,commercial,wedding in a budget explained,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725681_3715,Say I Do,The Comparison Shopper,wedding,commercial,Best online invites with rsvp free,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725694_7746,Say I Do,The Comparison Shopper,wedding,navigational,Can someone explain why have a wedding website,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725696_1007,Say I Do,The Comparison Shopper,wedding,commercial,What makes web invitations different from other options specifically for zola vs say i do,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725737_3284,Say I Do,The Comparison Shopper,wedding,navigational,Trying to learn about wedding websites with rsvp feature,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725755_4689,Say I Do,The Comparison Shopper,wedding,navigational,Can someone explain q and a for wedding website,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725777_9428,Say I Do,The Comparison Shopper,wedding,commercial,I need to understand withjoy pricing,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725794_6894,Say I Do,The Comparison Shopper,wedding,commercial,What makes platform for wedding ceremony different from other options,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725818_9228,Say I Do,The Comparison Shopper,wedding,navigational,Can someone explain zola wedding website reviews,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725836_7006,Say I Do,The Comparison Shopper,wedding,navigational,free website guys reviews guide,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725867_3920,Say I Do,The Comparison Shopper,wedding,informational,Best when do u send out save the dates,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725887_7033,Say I Do,The Comparison Shopper,wedding,commercial,save the date wedding examples recommendations focused on withjoy reviews,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725893_3169,Say I Do,The Comparison Shopper,wedding,commercial,Trying to learn about send your own invitations online,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725924_1815,Say I Do,The Comparison Shopper,wedding,commercial,Trying to learn about rsvp platforms,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725943_9254,Say I Do,The Comparison Shopper,wedding,informational,Trying to learn about how far in advance do you send wedding invites,6.5,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401725966_3460,Say I Do,The Comparison Shopper,wedding,commercial,wedding table plan who sits where recommendations,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726000_6510,Say I Do,The Comparison Shopper,wedding,commercial,Looking for information on hate wedding planning,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1773401726037_5952,Say I Do,The Comparison Shopper,wedding,commercial,Trying to learn about with joy pricing,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
