prompt_id,client_name,persona,category,intent_type,prompt_text,expected_visibility_score,notes,batch_id,batch_name,date_added,status
gen_1773177581079_5509,Natasha Denona,Luxury Beauty Enthusiast,educational,transactional,Trying to decide between professional makeup artist eyeshadow and Sephora,7.5,Generated from keyword: professional makeup artist eyeshadow (vs Pat McGrath Labs),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581080_4822,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,What's the difference between neutral eyeshadow palette and Anastasia Beverly Hills,8.0,Generated from keyword: neutral eyeshadow palette (vs Charlotte Tilbury),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581082_1440,Natasha Denona,Luxury Beauty Enthusiast,business,comparison,Trying to decide between eyeshadow palette dupes and ColourPop,7.0,Generated from keyword: eyeshadow palette dupes (vs ColourPop),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581088_3518,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,How does best eyeshadow for hooded eyes compare to Makeup Revolution,8.0,Generated from keyword: best eyeshadow for hooded eyes (vs Urban Decay),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581090_2853,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,cruelty free luxury eyeshadow vs Sephora,8.0,Generated from keyword: cruelty free luxury eyeshadow (vs Anastasia Beverly Hills),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581097_7962,Natasha Denona,Luxury Beauty Enthusiast,business,comparison,luxury makeup worth the price or Bobbi Brown,6.0,Generated from keyword: luxury makeup worth the price (vs Tom Ford Beauty),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581100_1142,Natasha Denona,Luxury Beauty Enthusiast,educational,transactional,How does professional makeup artist eyeshadow compare to Stila,7.5,Generated from keyword: professional makeup artist eyeshadow (vs Pat McGrath Labs),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581108_1290,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,What's the difference between cruelty free luxury eyeshadow and Makeup Revolution,8.0,Generated from keyword: cruelty free luxury eyeshadow (vs Anastasia Beverly Hills),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581113_9334,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,Should I choose best luxury eyeshadow palette or Makeup Revolution,8.0,Generated from keyword: best luxury eyeshadow palette (vs Pat McGrath Labs),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581117_1701,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,How does eyeshadow color for hazel eyes compare to Anastasia Beverly Hills,8.0,Generated from keyword: eyeshadow color for hazel eyes (vs Urban Decay),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581122_4800,Natasha Denona,Luxury Beauty Enthusiast,business,comparison,How does luxury makeup worth the price compare to Pat McGrath Labs,6.0,Generated from keyword: luxury makeup worth the price (vs Tom Ford Beauty),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581127_2055,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,Differences between best luxury eyeshadow palette and Makeup Revolution,8.0,Generated from keyword: best luxury eyeshadow palette (vs Pat McGrath Labs),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581130_1080,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,metallic eyeshadow vs shimmer or Too Faced,7.0,Generated from keyword: metallic eyeshadow vs shimmer (vs Pat McGrath Labs),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581134_5183,Natasha Denona,Luxury Beauty Enthusiast,business,comparison,Trying to decide between eyeshadow palette dupes and Huda Beauty,7.0,Generated from keyword: eyeshadow palette dupes (vs ColourPop),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581150_4779,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,Should I choose eyeshadow palette for brown eyes or Too Faced,8.0,Generated from keyword: eyeshadow palette for brown eyes (vs Charlotte Tilbury),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581154_8015,Natasha Denona,Luxury Beauty Enthusiast,business,comparison,Differences between luxury makeup worth the price and ColourPop,6.0,Generated from keyword: luxury makeup worth the price (vs Tom Ford Beauty),baseline_import,Initial Baseline Import,2026-03-29,approved
gen_1773177581160_1497,Natasha Denona,Luxury Beauty Enthusiast,educational,informational,Should I choose eyeshadow for mature skin or MAC,8.0,Generated from keyword: eyeshadow for mature skin (vs Charlotte Tilbury),baseline_import,Initial Baseline Import,2026-03-29,approved
