prompt_id,client_name,persona,category,intent_type,prompt_text,expected_visibility_score,notes,batch_id,batch_name,date_added,status
gen_1775169115247_7306,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What federal home care and family support programs are available in Ontario?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115247_6410,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I find senior caregiver support resources in Ontario?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115248_5227,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What financial support is available for family caregivers in Canada?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115249_1435,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I access virtual healthcare services in Ontario?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115250_4508,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I navigate my parent's healthcare journey after diagnosis?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115252_2569,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I find virtual healthcare options in Ontario?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115253_3026,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Is there a dementia screening tool for family caregivers?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115256_3072,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I start advanced care planning for my aging parent?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115258_1598,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What events are happening for National Caregiver Day?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115262_3068,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What virtual healthcare services are available to Ontario caregivers?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115265_5380,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I find end of life and palliative care resources?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115268_1408,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What should be on a hospital discharge checklist for my parent?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115271_3336,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I manage caregiver burnout and take care of myself?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115278_1491,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What are the main responsibilities and duties of a family caregiver?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115282_1459,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What should I do on my first day as a caregiver for my parent?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115285_2988,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Can family members get paid to be caregivers in Canada?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115290_7256,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I find respite care support for family caregivers?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115295_2762,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What caregiver support is available in Ontario?,8.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115298_1246,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Am I eligible for ODSP caregiver allowance?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115303_3114,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Who can be appointed to make medical decisions for my parent?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115308_6323,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What technology tools help family caregivers manage care?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169115314_4726,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I provide cancer care for my loved one at home?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120894_7804,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I get help navigating the health and social system as a caregiver?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120901_8906,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,When is National Caregiver Day in Canada and how do organizations recognize it?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120910_3295,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I create a contingency plan for caring for my aging parent?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120915_2954,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,I'm a caregiver and feeling overwhelmed—where do I find support?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120922_3744,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What resources are available if I'm being a caregiver for a family member?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120930_2402,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Are there caregiver support services that welcome LGBTQ+ families?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120939_1980,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How do I apply for a family support grant as a caregiver in Ontario?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120947_4739,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,Where can I find a caregiver grief support group near me?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120955_8573,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What does planning with a familial lens mean in caregiving?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120965_3381,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,What caregiver skills do I need to learn before my parent comes home from the hospital?,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120972_7359,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,navigational,Dementia support for caregivers near me in Ontario,6.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
gen_1775169120982_7484,Ontario Caregiver Organization,Adult Child Caregiver (50+),educational,commercial,How does virtual healthcare work and should I use it for my parent's care?,7.0,,ai_batch_202604,AI Generated April 2026,2026-04-02,approved
