prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839517803_2107,The Comparison Shopper,educational,informational,What's the best approach to Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Parent,tc_persona_1_Free_wedding_website_builders_1775839517,parent,Free wedding website builders,
tc_1775839517803_8198,The Comparison Shopper,educational,informational,checklist for Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (how_to_practical),tc_persona_1_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,how_to_practical
tc_1775839517803_2729,The Comparison Shopper,educational,informational,common challenges with Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (emotional_support),tc_persona_1_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,emotional_support
tc_1775839517803_8817,The Comparison Shopper,educational,informational,Free wedding website builders providers near me,5.0,Topic cluster: Free wedding website builders | Fan-out (geographic),tc_persona_1_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,geographic
tc_1775839517803_9128,The Comparison Shopper,educational,informational,how to access Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (eligibility_access),tc_persona_1_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,eligibility_access
tc_1775839517803_4657,The Comparison Shopper,business,commercial,Free wedding website builders services and solutions,5.0,Topic cluster: Free wedding website builders | Fan-out (specific_services),tc_persona_1_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,specific_services
tc_1775839517803_8916,The First-Time Planner,educational,informational,What should I know about Free wedding website builders as a the first-time planner,5.0,Topic cluster: Free wedding website builders | Parent,tc_persona_3_Free_wedding_website_builders_1775839517,parent,Free wedding website builders,
tc_1775839517803_6572,The First-Time Planner,educational,informational,advice from people experienced with Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (emotional_support),tc_persona_3_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,emotional_support
tc_1775839517803_9048,The First-Time Planner,educational,informational,Free wedding website builders providers near me,5.0,Topic cluster: Free wedding website builders | Fan-out (geographic),tc_persona_3_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,geographic
tc_1775839517803_5330,The First-Time Planner,educational,informational,who qualifies for Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (eligibility_access),tc_persona_3_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,eligibility_access
tc_1775839517803_9544,The First-Time Planner,educational,informational,how to get started with Free wedding website builders,5.0,Topic cluster: Free wedding website builders | Fan-out (how_to_practical),tc_persona_3_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,how_to_practical
tc_1775839517803_4984,The First-Time Planner,business,commercial,Free wedding website builders services and solutions,5.0,Topic cluster: Free wedding website builders | Fan-out (specific_services),tc_persona_3_Free_wedding_website_builders_1775839517,fanout,Free wedding website builders,specific_services
tc_1775839517803_3092,The Digital Invites Planner,educational,informational,What are my options for Digital wedding invitations as a the digital invites planner,5.0,Topic cluster: Digital wedding invitations | Parent,tc_persona_2_Digital_wedding_invitations_1775839517,parent,Digital wedding invitations,
tc_1775839517803_1459,The Digital Invites Planner,educational,informational,Digital wedding invitations options in Canada,5.0,Topic cluster: Digital wedding invitations | Fan-out (geographic),tc_persona_2_Digital_wedding_invitations_1775839517,fanout,Digital wedding invitations,geographic
tc_1775839517803_2778,The Digital Invites Planner,educational,informational,requirements for Digital wedding invitations,5.0,Topic cluster: Digital wedding invitations | Fan-out (eligibility_access),tc_persona_2_Digital_wedding_invitations_1775839517,fanout,Digital wedding invitations,eligibility_access
