prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839523250_1451,SaaS Founder / CEO,educational,informational,Can you help me understand What is venture debt,5.0,Topic cluster: What is venture debt | Parent,tc_saas_founder_ceo_What_is_venture_debt_1775839523,parent,What is venture debt,
tc_1775839523250_2294,SaaS Founder / CEO,educational,informational,common challenges with What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (emotional_support),tc_saas_founder_ceo_What_is_venture_debt_1775839523,fanout,What is venture debt,emotional_support
tc_1775839523250_9153,SaaS Founder / CEO,educational,informational,What is venture debt options in Canada,5.0,Topic cluster: What is venture debt | Fan-out (geographic),tc_saas_founder_ceo_What_is_venture_debt_1775839523,fanout,What is venture debt,geographic
tc_1775839523250_3940,SaaS Founder / CEO,educational,informational,how to access What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (eligibility_access),tc_saas_founder_ceo_What_is_venture_debt_1775839523,fanout,What is venture debt,eligibility_access
tc_1775839523250_6526,SaaS Founder / CEO,business,commercial,companies that offer What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (specific_services),tc_saas_founder_ceo_What_is_venture_debt_1775839523,fanout,What is venture debt,specific_services
tc_1775839523250_4706,SaaS Founder / CEO,educational,informational,step by step guide for What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (how_to_practical),tc_saas_founder_ceo_What_is_venture_debt_1775839523,fanout,What is venture debt,how_to_practical
tc_1775839523250_3494,Startup CFO / VP Finance,educational,informational,I need help with What is venture debt — where do I start,5.0,Topic cluster: What is venture debt | Parent,tc_startup_cfo_finance_What_is_venture_debt_1775839523,parent,What is venture debt,
tc_1775839523250_8074,Startup CFO / VP Finance,educational,informational,community forums for What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (emotional_support),tc_startup_cfo_finance_What_is_venture_debt_1775839523,fanout,What is venture debt,emotional_support
tc_1775839523250_3097,Startup CFO / VP Finance,educational,informational,how to get started with What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (how_to_practical),tc_startup_cfo_finance_What_is_venture_debt_1775839523,fanout,What is venture debt,how_to_practical
tc_1775839523250_7259,Startup CFO / VP Finance,educational,informational,who qualifies for What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (eligibility_access),tc_startup_cfo_finance_What_is_venture_debt_1775839523,fanout,What is venture debt,eligibility_access
tc_1775839523250_8699,Startup CFO / VP Finance,business,commercial,companies that offer What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (specific_services),tc_startup_cfo_finance_What_is_venture_debt_1775839523,fanout,What is venture debt,specific_services
tc_1775839523250_3071,Startup CFO / VP Finance,educational,informational,What is venture debt providers near me,5.0,Topic cluster: What is venture debt | Fan-out (geographic),tc_startup_cfo_finance_What_is_venture_debt_1775839523,fanout,What is venture debt,geographic
tc_1775839523250_1203,Healthcare / Vertical SaaS Operator,educational,informational,What should I know about What is venture debt as a healthcare / vertical saas operator,5.0,Topic cluster: What is venture debt | Parent,tc_healthcare_tech_operator_What_is_venture_debt_1775839523,parent,What is venture debt,
tc_1775839523250_1930,Healthcare / Vertical SaaS Operator,educational,informational,how to get started with What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (how_to_practical),tc_healthcare_tech_operator_What_is_venture_debt_1775839523,fanout,What is venture debt,how_to_practical
tc_1775839523250_2882,Healthcare / Vertical SaaS Operator,educational,informational,advice from people experienced with What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (emotional_support),tc_healthcare_tech_operator_What_is_venture_debt_1775839523,fanout,What is venture debt,emotional_support
tc_1775839523250_9302,Healthcare / Vertical SaaS Operator,educational,informational,requirements for What is venture debt,5.0,Topic cluster: What is venture debt | Fan-out (eligibility_access),tc_healthcare_tech_operator_What_is_venture_debt_1775839523,fanout,What is venture debt,eligibility_access
tc_1775839523250_3244,Healthcare / Vertical SaaS Operator,business,commercial,What is venture debt services and solutions,5.0,Topic cluster: What is venture debt | Fan-out (specific_services),tc_healthcare_tech_operator_What_is_venture_debt_1775839523,fanout,What is venture debt,specific_services
tc_1775839523250_2545,Healthcare / Vertical SaaS Operator,educational,informational,local What is venture debt options by region,5.0,Topic cluster: What is venture debt | Fan-out (geographic),tc_healthcare_tech_operator_What_is_venture_debt_1775839523,fanout,What is venture debt,geographic
tc_1775839523250_6633,SaaS Founder / CEO,educational,informational,What's the best approach to Venture debt vs raising equity,5.0,Topic cluster: Venture debt vs raising equity | Parent,tc_saas_founder_ceo_Venture_debt_vs_raising_equity_1775839523,parent,Venture debt vs raising equity,
tc_1775839523250_4762,SaaS Founder / CEO,business,commercial,Venture debt vs raising equity services and solutions,5.0,Topic cluster: Venture debt vs raising equity | Fan-out (specific_services),tc_saas_founder_ceo_Venture_debt_vs_raising_equity_1775839523,fanout,Venture debt vs raising equity,specific_services
tc_1775839523250_4745,SaaS Founder / CEO,educational,informational,Venture debt vs raising equity options in Canada,5.0,Topic cluster: Venture debt vs raising equity | Fan-out (geographic),tc_saas_founder_ceo_Venture_debt_vs_raising_equity_1775839523,fanout,Venture debt vs raising equity,geographic
