prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839502278_3421,Adult Child Caregiver (50+),educational,informational,What's the best approach to Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Parent,tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,parent,Caregiver support in Ontario,
tc_1775839502278_7416,Adult Child Caregiver (50+),educational,informational,common challenges with Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (emotional_support),tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,emotional_support
tc_1775839502278_4651,Adult Child Caregiver (50+),business,commercial,companies that offer Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (specific_services),tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,specific_services
tc_1775839502278_4422,Adult Child Caregiver (50+),educational,informational,step by step guide for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (how_to_practical),tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,how_to_practical
tc_1775839502278_6277,Adult Child Caregiver (50+),educational,informational,who qualifies for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (eligibility_access),tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,eligibility_access
tc_1775839502278_6219,Adult Child Caregiver (50+),educational,informational,local Caregiver support in Ontario options by region,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (geographic),tc_adult_child_50plus_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,geographic
tc_1775839502278_8570,Adult Child Caregiver (Under 50),educational,informational,What's the best approach to Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Parent,tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,parent,Caregiver support in Ontario,
tc_1775839502278_8134,Adult Child Caregiver (Under 50),educational,informational,common challenges with Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (emotional_support),tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,emotional_support
tc_1775839502278_4815,Adult Child Caregiver (Under 50),educational,informational,step by step guide for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (how_to_practical),tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,how_to_practical
tc_1775839502278_1988,Adult Child Caregiver (Under 50),business,commercial,Caregiver support in Ontario services and solutions,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (specific_services),tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,specific_services
tc_1775839502278_9591,Adult Child Caregiver (Under 50),educational,informational,local Caregiver support in Ontario options by region,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (geographic),tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,geographic
tc_1775839502278_9609,Adult Child Caregiver (Under 50),educational,informational,requirements for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (eligibility_access),tc_adult_child_under50_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,eligibility_access
tc_1775839502278_1021,Spousal Caregiver,educational,informational,What's the best approach to Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Parent,tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,parent,Caregiver support in Ontario,
tc_1775839502278_2274,Spousal Caregiver,business,commercial,Caregiver support in Ontario services and solutions,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (specific_services),tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,specific_services
tc_1775839502278_8617,Spousal Caregiver,educational,informational,checklist for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (how_to_practical),tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,how_to_practical
tc_1775839502278_9441,Spousal Caregiver,educational,informational,community forums for Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (emotional_support),tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,emotional_support
tc_1775839502278_1216,Spousal Caregiver,educational,informational,Caregiver support in Ontario providers near me,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (geographic),tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,geographic
tc_1775839502278_6233,Spousal Caregiver,educational,informational,how to access Caregiver support in Ontario,5.0,Topic cluster: Caregiver support in Ontario | Fan-out (eligibility_access),tc_spousal_caregiver_Caregiver_support_in_Ontario_1775839502,fanout,Caregiver support in Ontario,eligibility_access
