prompt_id,persona,category,intent_type,prompt_text,expected_visibility_score,notes,topic_cluster_id,cluster_role,cluster_topic,fanout_angle
tc_1775839515359_8010,E-Commerce Merchant,educational,informational,What are my options for Last-mile delivery in Canada as a e-commerce merchant,5.0,Topic cluster: Last-mile delivery in Canada | Parent,tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,parent,Last-mile delivery in Canada,
tc_1775839515359_4226,E-Commerce Merchant,educational,informational,requirements for Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (eligibility_access),tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,eligibility_access
tc_1775839515359_6568,E-Commerce Merchant,educational,informational,advice from people experienced with Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (emotional_support),tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,emotional_support
tc_1775839515359_9820,E-Commerce Merchant,educational,informational,Last-mile delivery in Canada providers near me,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (geographic),tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,geographic
tc_1775839515359_8485,E-Commerce Merchant,educational,informational,how to get started with Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (how_to_practical),tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,how_to_practical
tc_1775839515359_4571,E-Commerce Merchant,business,commercial,best providers for Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (specific_services),tc_ecommerce_merchant_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,specific_services
tc_1775839515359_4929,Logistics / 3PL Decision Maker,educational,informational,What are my options for Last-mile delivery in Canada as a logistics / 3pl decision maker,5.0,Topic cluster: Last-mile delivery in Canada | Parent,tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,parent,Last-mile delivery in Canada,
tc_1775839515359_6281,Logistics / 3PL Decision Maker,educational,informational,common challenges with Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (emotional_support),tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,emotional_support
tc_1775839515359_4802,Logistics / 3PL Decision Maker,educational,informational,how to access Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (eligibility_access),tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,eligibility_access
tc_1775839515359_7883,Logistics / 3PL Decision Maker,educational,informational,checklist for Last-mile delivery in Canada,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (how_to_practical),tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,how_to_practical
tc_1775839515359_5935,Logistics / 3PL Decision Maker,educational,informational,local Last-mile delivery in Canada options by region,5.0,Topic cluster: Last-mile delivery in Canada | Fan-out (geographic),tc_logistics_decision_maker_Last-mile_delivery_in_Canada_1775839515,fanout,Last-mile delivery in Canada,geographic
